CLK_REF_COUNTER, CPU0 COUNTER, CPU0 - Data Cache Refill, CPU0 - Data Cache Access, CPU0 - Data Stall, CPU0 - Write Stall, CPU0 - Instruction Rename, CPU0 - Branch Miss
1426552195471040000,141626147,4292751,4051122633,31924546,0,3756736960,4794120
1426552195521040000,142149771,4307536,4065783280,32053835,0,3784394063,4809542
1426552195571040000,142666329,4324666,4080210959,32195946,0,3811695876,4824783
1426552195621040000,143186094,4339617,4094760804,32328651,0,3839145764,4840090
1426552195671040000,143705428,4357064,4109265129,32474848,0,3866590896,4855411
1426552195721040000,144231636,4374450,4123964403,32619710,0,3894400468,4870934
1426552195771040000,144756440,4389470,4138656577,32753003,0,3922116631,4886389
1426552195821040000,145270645,4406601,4153018406,32893786,0,3949295089,4901562
1426552195871040000,145785661,4421335,4167436049,33022419,0,3976497829,4916732
1426552195921040000,146315315,4438783,4182232289,33168233,0,4004488804,4932356
1426552195971040000,146835033,4453779,4196780978,33301060,0,4031936645,4947661
1426552196021040000,147352336,4470957,4211229774,33443086,0,4059277818,4962925
1426552196071040000,147874866,4485781,4225859421,33572441,0,4086877069,4978314
1426552196121040000,148395600,4502950,4240405251,33714391,0,4114399711,4993678
1426552196171040000,148916530,4520181,4254956718,33856217,0,4141932900,5009048
1426552196221040000,149440173,4535143,4269616266,33988945,0,4169588022,5024469
1426552196271040000,149957700,4552215,4284072470,34128883,0,4196943090,5039740
1426552196321040000,150478820,4567136,3693624,34261127,0,4224465217,5055086
1426552196384040000,151138960,4588854,22135476,34441140,0,4259353971,5074561
1426552196434040000,151659787,4603812,36715281,34574083,0,4286859968,5089900
1426552196484040000,152179038,4620809,51220886,34712502,0,19340102,5105221
1426552196534040000,152700996,4635854,65832518,34845947,0,46905636,5120592
1426552196584040000,153223552,4653141,80429112,34989573,0,74523203,5136009
1426552196634040000,153742821,4668178,94964863,35122791,0,101946798,5151301
1426552196684040000,154268159,4685504,109640162,35266245,0,129711578,5166800
1426552196734040000,154776344,4700856,123861118,35397098,0,156563586,5181791
1426552196784040000,155306841,4717600,138684970,35539851,0,184589056,5197418
1426552196834040000,155832945,4734923,153381657,35684135,0,212393782,5212939
1426552196884040000,156341694,4749682,167621487,35814077,0,239264028,5227924
1426552196934040000,156849984,4766663,181817152,35952684,0,266131866,5242923
1426552196984040000,157380658,4781823,196674047,36088245,0,294156061,5258549
1426552197034040000,157909606,4799285,211450905,36232910,0,322110735,5274154
1426552197084040000,158426138,4814057,225911012,36362172,0,349392885,5289367
1426552197134040000,158941759,4831201,240312304,36504221,0,376645255,5304581
1426552197184040000,159470739,4847222,255113047,36641078,0,404595297,5320182
1426552197234040000,159997211,4863598,269829729,36781160,0,432406585,5335690
1426552197284040000,160516486,4880720,284334856,36921931,0,459853094,5351012
1426552197334040000,161036882,4895494,298903711,37052237,0,487338671,5366338
1426552197387040000,161581459,4913145,314120438,37200950,0,516115950,5382400
1426552197437040000,162100435,4928108,328648184,37333433,0,543524567,5397684
1426552197487040000,162630731,4945550,343462556,37478936,0,571549372,5413326
1426552197537040000,163147497,4962715,357896541,37620173,0,598862864,5428575
1426552197587040000,163676356,4977745,372703555,37753020,0,626793795,5444149
1426552197637040000,164187771,4994833,386986691,37893388,0,653825190,5459240
1426552197687040000,164696051,5009319,401215433,38018531,0,680674693,5474213
1426552197737040000,165218148,5026607,415798743,38162546,0,708267382,5489616
1426552197787040000,165737696,5041639,430342178,38296150,0,735705366,5504915
1426552197837040000,166258498,5058932,444889182,38439733,0,763230202,5520281
1426552197887040000,166780733,5074078,459507654,38575117,0,790808489,5535659
1426552197937040000,167301464,5091205,474054661,38714477,0,818333450,5551024
1426552197987040000,167819637,5106093,488559776,38846634,0,845699731,5566284
1426552198037040000,168343176,5123432,503184135,38990425,0,873369201,5581731
1426552198087040000,168859863,5140075,517623665,39128778,0,900677630,5596975
1426552198137040000,169383367,5155722,532269883,39267712,0,928323305,5612391
1426552198187040000,169904836,5173099,546835385,39412210,0,955882729,5627775
1426552198237040000,170437722,5188126,561756013,39545367,0,984026090,5643467
1426552198287040000,170955849,5205481,576227141,39689576,0,1011409076,5658754
1426552198337040000,171477952,5220321,590844056,39820341,0,1038984446,5674130
1426552198390040000,172032581,5238129,606344448,39969994,0,1068292194,5690487
1426552198440040000,172557744,5255422,621014553,40113891,0,1096047295,5705980
1426552198490040000,173061673,5269983,635118962,40241721,0,1122664272,5720824
1426552198540040000,173581181,5287158,649629910,40384192,0,1150121678,5736152
1426552198590040000,174116012,5302305,664604668,40519099,0,1178366267,5751899
1426552198640040000,174640906,5319565,679268274,40660910,0,1206109185,5767387
1426552198690040000,175157904,5334337,693741986,40789339,0,1233416726,5782614
1426552198740040000,175672874,5351470,708125281,40930522,0,1260635430,5797809
1426552198790040000,176183962,5366162,722431765,41059177,0,1287630303,5812863
1426552198840040000,176720009,5383733,737408208,41205990,0,1315958228,5828674
1426552198890040000,177224499,5400687,751496646,41344094,0,1342625581,5843563
1426552198940040000,177760422,5415875,766501850,41479954,0,1370927080,5859343
1426552198990040000,178281177,5433151,781047654,41623321,0,1398449628,5874708
1426552199040040000,178806251,5448052,795748405,41754227,0,1426181877,5890171
1426552199090040000,179326966,5465189,810294510,41894625,0,1453704997,5905535
1426552199140040000,179846485,5480089,824837811,42026558,0,1481142762,5920835
1426552199190040000,180367275,5497179,839386111,42166659,0,1508670030,5936201
1426552199240040000,180876820,5511907,853649010,42295305,0,1535583300,5951211
1426552199290040000,181406190,5529296,868437785,42439542,0,1563560379,5966827
1426552199340040000,181929620,5546652,883058989,42583398,0,1591223971,5982269
1426552199392040000,182471493,5561874,898232279,42719521,0,1619839836,5998224
1426552199442040000,182990657,5579173,912733688,42861842,0,1647279427,6013542
1426552199492040000,183510171,5594039,927277799,42991821,0,1674718591,6028843
1426552199542040000,184033635,5611343,941900275,43135051,0,1702384680,6044286
1426552199592040000,184557472,5628871,956531758,43281702,0,1730067481,6059740
1426552199642040000,185068132,5643598,970825844,43411029,0,1757039154,6074781
1426552199692040000,185596313,5661097,985580320,43557182,0,1784952020,6090361
1426552199742040000,186117164,5675846,1000162533,43686550,0,1812462411,6105702
1426552199792040000,186638068,5693187,1014712175,43830648,0,1839992294,6121070
1426552199842040000,187160028,5708014,1029325418,43960490,0,1867560826,6136442
1426552199892040000,187664304,5724971,1043407490,44099234,0,1894216178,6151325
1426552199942040000,188200236,5740095,1058414265,44232512,0,1922520629,6167106
1426552199992040000,188720952,5757386,1072959311,44375106,0,1950041864,6182469
1426552200042040000,189238931,5772134,1087460371,44504273,0,1977400611,6197725
1426552200092040000,189762869,5789465,1102096259,44647448,0,2005091683,6213183
1426552200142040000,190283076,5806751,1116626644,44790656,0,2032585441,6228531
1426552200192040000,190802108,5821526,1131157014,44920776,0,2059998990,6243818
1426552200242040000,191329664,5838762,1145895598,45062803,0,2087882129,6259382
1426552200292040000,191847745,5853569,1160398534,45194029,0,2115244329,6274640
1426552200342040000,192368012,5870846,1174930386,45337688,0,2142740803,6289989
1426552200392040000,192887525,5885738,1189473658,45469448,0,2170178546,6305289
1426552200442040000,193409865,5902995,1204064235,45612739,0,2197784873,6320700
1426552200492040000,193926474,5917770,1218526439,45742257,0,2225070836,6335916
1426552200542040000,194457510,5935068,1233363572,45884131,0,2253138279,6351583
1426552200592040000,194962241,5949635,1247491114,46011118,0,2279798550,6366451
1426552200642040000,195481881,5966866,1262006086,46152990,0,2307263537,6381783
1426552200692040000,196009944,5984204,1276758428,46296482,0,2335172395,6397361
1426552200742040000,196531981,5999108,1291372866,46428316,0,2362743180,6412735
